"","Hospital","Specialty","Rotation","Overall","R1","R2","R3","R4","Workload","Stress","Independence","Support","Daytime_workload","Call_workload","Lone_call","Post_call_half","Long_short_call","Call_room","Quarters","AL","Compensatory_leave","Interview","Leave_comments","Work_comments","Comments1","Comments2","class","Comments3","Education","ro"
"358","QEH","MED",2,5,5,5,4,4,3,4,5,3,4,5,"No","No","No","No",3,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","只會有一個星期AL，QEH MED 會食哂你嘅compen的，就算你有返紅日都唔會有多嘅CL放","所有procedure都係HO做; post call half day 要compul 跟OPD; 抽血: T&S, culture, ABG; non office hour，星期六一點後，全星期日要拉ECG...","very good education value even for R3/4 as all procedures done by HO (BMA, LP, pleural tap abd tap, talc pleurodesis, +/- chest drain insertion +/- other procedures)
very busy although not the most busy imo
being a ECG姑 will change you forever",NA,"M19",NA,NA,"MED QEH"
"359","QEH","MED",3,4,5,5,3,3,4,2,4,5,4,5,"No","Yes","No","Yes",NA,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,"Many chances for you to admit cases and to perform procedures. ECG and blood cultures can be annoying during calls. But overall you are doing the real clinical work.","Although covering 4 big wards during calls is tiring, QEH Med is a great place to learn and grow if you are into Med. People are super nice here. MOs are willing to teach, nurses are ready to help and radiologists show good attitude even if they do not grant a scan. Do choose it as your R1 or R2 if you want to do Med. I voluntarily put it as R3 but workload-wise I was spared by COVID-19. The real winter surge here must be more challenging with HOs taking all blood cultures 24 hours and doing all ECGs after 4pm.",NA,"M19",NA,NA,"MED QEH"
"360","QEH","MED",3,5,5,5,5,5,5,3,5,1,4,5,"Yes","Yes","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"You become super competent of everything.
You HO can make all decisions as MO wont help you most of the time.
When others know you survived QEH MED, they truly respect you.
Its such a good place to grow.",NA,"M19",NA,NA,"MED QEH"
"361","QMH","MED",1,4,5,4,4,4,4,3,3,5,4,4,"No","Yes","No","Yes",3,"Assigned by Department","Allow arrangement among HO",NA,NA,NA,NA,NA,"M19",NA,NA,"MED QMH"
"362","QMH","MED",1,5,5,5,4,4,4,3,2,4,4,4,"No","Yes","No","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Good educational value",NA,"M19",NA,NA,"MED QMH"
"363","QMH","MED",1,5,5,5,5,5,4,3,5,5,4,4,"No","Yes","No","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,NA,"M19",NA,NA,"MED QMH"
"364","QMH","MED",1,5,4,4,4,4,3,3,3,5,3,3,"Yes","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"QMH has relatively fewer patients than other hospitals and a higher HO-to-ward ratio, so you get more time. MOs and consultants are eager to teach if you ask and nurses are competent in general, so you can rely on them. Get to do procedures if you ask. Good solid foundation training for rotation 1.",NA,"M19",NA,NA,"MED QMH"
"365","QMH","MED",1,4,4,4,2,2,4,4,2,4,4,4,"No","Yes","No","No",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,"No job sheet printing (heaven) 
OPDs and admissions can be very rewarding if you are really spending time to learn from the cases you see. 
All drips set by houseman (good practice) 
Relatively fewer chance to do bedside procedures (need to be proactive to ask MOs)","Good place for rot 1-2 if you want to learn medical knowledge. 
Less bedside procedures compared to QEH/ UCH. 
Very competent nurses, makes your life so much easier.",NA,"M19",NA,NA,"MED QMH"
"366","QMH","MED",2,4,4,4,1,1,4,5,3,3,4,4,"No","Yes","No","No",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO","May request AL but not guaranteed. Holiday calls / Compens assigned.","Very high turnover rates due to BD round, sometimes admit/discharge 15+ in one day. Hence lots of HO work. Also 3 HO OPD sessions per general ward per week to be allocated amongst ourselves. Therefore ward duties can be down to 1 HO (other opd/post-call/AL) which is tough.","Good for learning solid basics and how to approach medical problems, which can take you far in other rotations or even Non-medical MO career. (As we see too many mismanaged medical problems/trivial consults from non-medical specialties). MOs are mostly nice. A lot of administrative work which can be annoying. Your blood taking/ drip setting will improve tremendously due to the sheer volume of practice, especially in female wards with very thin veins that are seemingly impossible. R2 also has added stress of impressing seniors / asking for letters for job applications.","Hope your ward mates are nice and hardworking because bad ones could really spoil your experience, since it’s more or less group impression from above and you may need to work extra hard to not look bad by association.","M19",NA,NA,"MED QMH"
"367","QMH","MED",2,4,4,4,1,1,5,5,4,4,5,4,"No","Yes","No","No",1,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,NA,"Rather stressful. High expectation, little room for mistake. Political. Nurse very competent. Good place if you want to work as a physician.","M19",NA,NA,"MED QMH"
"368","QMH","MED",2,4,4,4,3,3,3,3,2,4,4,3,"No","Yes","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Good educational value, but going to OPD on your own can be really stressful and scary since you don’t get much guidance. General ward you get ward buddies; workload can be variable quite high during start of winter surge but otherwise ok. Competent nurses and no need to do a lot of admin work, good for those interested in medical",NA,"M19",NA,NA,"MED QMH"
"369","QMH","MED",2,4,4,4,4,4,4,4,4,4,5,4,"No","Yes","No","No",5,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,NA,NA,"M19",NA,NA,"MED QMH"
"370","QMH","MED",2,4,3,3,3,3,3,4,3,4,4,4,"No","Yes","No","No",2,"Assigned by Department","Assigned by Department",NA,"Your AL will be divided into 3 (Monday-Wednesday) + 3 (Thurs-Sat)","Difficult to negotiate scan in QMH, you will spend a lot of time in advancing / negotiating urgent scan, You will have to see patient independently during OPD sessions","QMH 你懂的",NA,"M19",NA,NA,"MED QMH"
"371","QMH","MED",3,2,NA,NA,3,3,2,4,3,3,2,2,"No","Yes","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,NA,NA,"M19",NA,NA,"MED QMH"
"372","QMH","MED",3,5,5,5,5,5,4,3,5,4,4,3,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"MO are nice, learn to do all stuff by yourself so quite educational, relative few calls comparing to other medical, more friends in same ward, quite chill",NA,"M19",NA,NA,"MED QMH"
"373","QMH","MED",3,4,5,5,3,4,3,4,3,4,3,3,"No","Yes","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Big hospital, good for learning",NA,"M19",NA,NA,"MED QMH"
"374","QMH","MED",3,5,5,5,5,5,3,1,5,5,3,2,"No","Yes","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"QMH medical is great. I can't think of another medical rotation with just 5 calls a month. The MOs are great and you can ask them everything. Their OPD sessions are also quite fun if you're interested in the subspecialty because you can just ask if you don't know what you're doing anyway and the seniors are nice. Nurses often directly call the MOs during call for anything really urgent so your night can be quite quiet depending on the nurses. Many people are turned off by the needing to set HB / do all the blood c/st but it's good practice in the end and you won't think much of it. Admissions ARE expected but depending on your MO they might just admit for you anyway.",NA,"M19",NA,NA,"MED QMH"
"375","QMH","MED",3,3,3,3,2,2,3,2,2,3,3,3,"No","Yes","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO","Annual leave split into 3 + 3 days",NA,"Good learning, workload fair as many interns. Workload generally more reasonable than peripheral med, but less independence, less procedures, learning curve slower compared to peripheral med.",NA,"M19",NA,NA,"MED QMH"
"376","RH","MED",1,4,5,5,5,5,3,2,3,4,3,3,"Yes","No","Yes","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Good lifestyle and educational value. HO heaven","Try to be more active to maximize learning tho, coz not much work to do. Many MOs are happy to discuss with you. Can learn ECHO and procedures from them","M19",NA,NA,"MED RH"
"377","RH","MED",1,4,4,4,4,4,4,4,4,5,4,4,"Yes","No","Yes","Yes",3,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,"Friendly and supportive seniors, willing to teach",NA,"M19",NA,NA,"MED RH"
"378","RH","MED",2,5,5,5,5,5,3,2,4,5,3,4,"Yes","No","Yes","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","Secretary is nice too","24- hours phlebotomist support. 
Can volunteer to perform bedside procedures as most MOs are eager to teach you.","Rewarding and friendly. Highly recommended for all rotations if not a place for future career.",NA,"M19",NA,NA,"MED RH"
"379","RH","MED",2,4,5,5,5,5,4,2,1,5,4,4,"Yes","No","Yes","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Nice mo and nurse. Most clinical problems would inform mo. Quite chill. But call quite chur",NA,"M19",NA,NA,"MED RH"
"380","RH","MED",3,3,4,4,3,3,3,2,2,3,2,3,"Yes","No","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"In NCoV era so the admission and workload greatly reduced
But in general good MOs 
No need to handle ward complaints (But depends, nurses will call you if they know you will handle the complaints)
Bad: nurses are generally less competent than usual MED nurses, no post-call half days",NA,"M19",NA,NA,"MED RH"
"381","RH","MED",3,4,5,5,5,5,4,2,3,4,3,4,"Yes","No","Yes","No",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO","You can submit preference on the approximate time of AL. But final decision ip to department
For interview arrangement, just make sure others will cover you when u r away. No need to take leave.","Ward complaints (even desat and shock) will be directed to MO first so it's a pretty comfortable rotation out of all med rotation.","Most comfortable med rotation of all probably. Supportive MO. 
Sad that there is no HO room for hea and need to share room with MO.",NA,"M19",NA,NA,"MED RH"
"382","TKOH","MED",3,5,4,4,4,5,2,1,5,5,2,3,"Yes","Yes","No","Yes",2,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,"Blood Gu super ging","Great work life balance for medical","Last 2 months biased by Wuhan Pneumonia","M19",NA,NA,"MED TKOH"
"383","TMH","MED",1,5,5,5,3,3,5,5,5,5,4,5,"No","Yes","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,"Workload mainly ward complaints + T&S + ABG","Highly educational; but can be very 冧檔; quite stressed during call",NA,"M19",NA,NA,"MED TMH"
"384","TMH","MED",1,5,5,5,4,4,4,4,5,5,4,4,NA,"Yes","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Highly recommended! Place where you feel like being a doctor!",NA,"M19",NA,NA,"MED TMH"
"385","TMH","MED",1,5,5,5,4,4,4,3,4,5,4,5,"No","Yes","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,"This place is heaven, no need to type cha sum / set hep block / blood culture / r scan
Phlebotomists print job sheets themselves","BEST ROTATION EVER
1) Friendly and supportive MOs (nurses ok lah)
2) Good teaching, one supervisor assigned to each HO, can choose to follow round / help round / do admissions / do procedures but not compulsory, many learning opportunities if you are willing to learn but no one will chur you if you don't want to
3) No need to waste time on hep block / culture / job sheet, super competent phlebotomists
4) Other minor points: nice HO room, friendly secretary, post-call half day

Calls can be tough, some wards quite chur, otherwise workload is fair
Highly recommend if you want to do med (also if you don't want to do med but want to learn to be a good houseman instead of just passing time as a brainless slave)",NA,"M19",NA,NA,"MED TMH"
"386","TMH","MED",2,5,5,5,3,3,5,3,4,4,4,4,"No","Yes","No","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,"Handle 90% ward complaints + HW. MOs are very supportive.","HO independence allows you to think through your Mx rather than blinding doing what MO has written done.",NA,"M19",NA,NA,"MED TMH"
"387","TMH","MED",2,4,4,4,4,NA,4,3,4,4,4,4,"No","Yes","No","Yes",4,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,"TMH phlebotomists excel in their job. Houseman rarely needs to take blood except ABG and TS. Whereas in other hos eg PMH, houseman always need to do phlebotomist job, you can imagine how tough life could be","MO are very nice and willing to teach. Lots of chance to do procedures eg abd tap, chest tap, LP etc. Supportive secretaries to cater your need. Highly recommend those who wanna do med",NA,"M19",NA,NA,"MED TMH"
"388","TMH","MED",3,4,4,4,4,4,4,4,4,5,4,5,"No","Yes","No","Yes",NA,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","TMH Medical secretary was nice (Y)","no need case admission, discharge summary, ward round etc., downside is you learn less if you are lazy",NA,NA,"M19",NA,NA,"MED TMH"
"389","TMH","MED",3,5,5,5,4,4,3,2,4,5,3,4,"No","Yes","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,NA,"M19",NA,NA,"MED TMH"
"390","TMH","MED",3,5,4,4,3,3,4,3,5,4,4,4,"No","Yes","Yes","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Educational, nice MO and staff; Supposed to be quite stressful during winter surge but case load decreased significantly due to nCoV this year (HO need not be involved in dirty team in this department) 
No need to do many administrative work such as discharge summary, blood culture and requesting scans here (done by MO/ phlebo) 
MOs generally are friendly and willing to teach 
However, frequent calls here
And if you are assigned to do rehab block, good luck....",NA,"M19",NA,NA,"MED TMH"
"391","TMH","MED",3,4,4,4,4,4,4,3,3,2,3,4,"No","Yes","Yes","Yes",NA,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,NA,"M19",NA,NA,"MED TMH"
"392","TMH","MED",4,5,5,5,5,5,3,1,4,5,1,4,"No","Yes","Yes","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Need to take official Leave",NA,NA,"Nice MO, great for learning",NA,"M19",NA,NA,"MED TMH"
"393","UCH","MED",1,4,5,5,2,2,4,3,4,5,4,5,"No","Yes","No","Yes",3,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","Cannot comment about interview arrangement; but usually grants AL as requested","PAs (physician assistants) print all job sheets, non urgent consults/scans Mon-Sat","Historically labeled as hell but surprisingly good; hidden gem for those who don’t mind procedures, and very little administrative/clerk-like work thanks to PAs. Calls are frequent and relatively busy. Great phlebotomy/drip support 24/7.","People here are generally very nice, and you feel respected and valued in your role. MOs often offer to buy on-call dinner. Good evaluations unless you spectacularly mess up.","M19",NA,NA,"MED UCH"
"394","UCH","MED",1,5,5,NA,NA,NA,3,4,5,4,3,5,"No","Yes","No","Yes",2,"Allow arrangement among HO","Assigned by Department",NA,NA,NA,"Highly recommended, many clinical procedures, highly independent",NA,"M19",NA,NA,"MED UCH"
"395","UCH","MED",1,5,5,5,3,3,4,4,5,5,3,5,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department",NA,NA,NA,"daytime workload is ok usually, many opportunities to do procedures, help each other out and you’ll get time to tappy. call HO3 is chur but you learn a lot","Actually enjoyed this rotation not hell at all!
MOs are very supportive and helpful. Nurses in general very competent","M19",NA,NA,"MED UCH"
"396","UCH","MED",1,5,5,5,3,2,4,4,5,4,4,5,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"- highly educational as first rotation, and although independence is highly valued the MOs are all very nice to be consulted
- may perhaps be a bit chur during daytime, and definitely overwhelming during call / weekend
- may be spoiled as no need to set HB / blood culture / discharge summary / print job sheets / ...... and can focus on morning round / procedures / ward complaints
- morning ABG only around 10 or less each morning, and around 15 during winter surge","Reputation is getting much better by now, no need to lament if you get UCH med","M19",NA,NA,"MED UCH"
"397","UCH","MED",2,4,4,4,2,2,5,5,5,3,5,5,"No","Yes","No","Yes",2,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"MO are nice! Learn to do different procedures (pleural tap, abdominal tap, bone marrow biopsy, lumbar puncture, shift drain) and handle ward complaints (nurse will contact you first for most complaints). Especially good for those who wants to do medical. But quite busy.",NA,"M19",NA,NA,"MED UCH"
"398","UCH","MED",2,5,5,5,3,2,5,4,5,4,5,5,"No","Yes","No","Yes",3,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,NA,"Pros:
Hands-free for HO to do clinical procedures, but MOs are very supportive
Special recommendation for respiratory medicine - strong team spirit and resourceful seniors 
Excellent phlebotomists 
APNs are very competent

Cons:
Occupancy 130% constanly; procedures often done at extra beds 
Frail patients often deteriorate before DNR is written; crash calls are frequent
Radiology resources are scarce
Labs have long turnover time 
Lacks some specialties e.g., neurosurgery, CTS, Primary PCI - need to escort to QEH
Low threshold for ABGs - 6AM ABGs can swell up to 15-20 during winter 
Somewhat defensive in practice",NA,"M19",NA,NA,"MED UCH"
"399","YCH","MED",1,5,4,4,3,3,3,1,5,5,2,4,"Yes","Yes","No","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Many procedures for HO to try under supervision. MO are very supportive, will discuss management with you after case admission.","A good place if you love procedures.","M19",NA,NA,"MED YCH"
"400","YCH","MED",1,2,3,2,2,2,4,3,4,4,4,4,"Yes","Yes","No","Yes",3,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,NA,NA,"M19",NA,NA,"MED YCH"
"401","YCH","MED",2,3,2,2,3,3,3,3,4,4,4,4,"Yes","Yes","No","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Not that bad as suggested by ppl previously, not as many escorts as they now have tpa service. Not good for training if u have 大志 for medical since the seniors are crap. Workload not bad for medical rotation, and have post call half day which is crucial.",NA,"M19",NA,NA,"MED YCH"
"402","YCH","MED",3,1,1,1,3,3,4,1,4,2,4,4,"Yes","Yes","No","Yes",NA,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","Housemen arrange their own call list. AL and CO very flexible. Can create long holidays.","need to take 'verbal reports' from radiologists because they won't write written reports. Very time wasting","Not too educational; not a well managed/reliable place. Many moliu donkey work, very annoying. Also, wards call you very frequently (once called me 3 times in 2 minutes for different things). Seniors generally nice though. Pros: many food choices, can leave hospital, very flexible schedule, post-call whole day off for sunday calls.",NA,"M19",NA,NA,"MED YCH"
"403","PWH","MED-FM-EM",3,5,3,5,5,5,1,1,2,5,1,NA,NA,NA,NA,NA,NA,"Allow arrangement among HO","Allow arrangement among HO","Need to take official Leave",NA,NA,"good rotation for taking a break
FM: attach to some special clinics like a MS, sessions for睇症, no calls, only night clinics once a week, nice doctors and nurses, willing to teach, very good experience
PWH AED: i was arranged to stay in EM ward most of the time due to covid, not much workload as the cases are generally not complicated, just ward rounds, typing dc sum, print js. While at AED, most of the seniors do not want you to 睇症, you can just observe most of the time (i think it is quite boring for those who are interested in AED)",NA,"M19",NA,NA,"MED-FM-EM PWH"
"404","PYNEH","MED-FM-EM",1,5,5,5,5,5,1,1,2,4,1,1,"No","No","No","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"This is a great place for learning how A&E is like",NA,"M19",NA,NA,"MED-FM-EM PYNEH"
"405","QMH","MED-FM-EM",1,4,4,4,3,3,2,3,2,4,2,3,"No","Yes","No","Yes",1,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,NA,"M19",NA,NA,"MED-FM-EM QMH"
"406","QMH","MED-FM-EM",3,5,4,4,5,5,1,1,4,4,2,NA,NA,NA,NA,NA,NA,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,"Basically a half resident in A&E, independent see cases in FM","Best 3 months you can have as HO. No calls, get off on time everyday, A&E has scheduled days off, work hours wise much less compared to all other HO","Probably be hated by all other HO cus they be so jealous. Congrats if you got this","M19",NA,NA,"MED-FM-EM QMH"
"407","RH","MED-FM-EM",1,4,4,4,3,3,3,3,2,4,4,4,"Yes","No","Yes","Yes",3,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,NA,"Good senior support, not busy",NA,"M19",NA,NA,"MED-FM-EM RH"
"408","TMH","MED-FM-EM",3,5,5,5,5,5,1,1,4,5,1,3,"No","Yes","Yes","Yes",4,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,"MOs are very nice and willing to teach. HO is the extra manpower in FM AED. MED basically just abg t/s consultation letter. Highly recommend.",NA,"M19",NA,NA,"MED-FM-EM TMH"
"409","TMH","MED-FM-EM",3,5,5,5,4,4,4,4,3,4,4,5,"No","Yes","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"I bet you can't find any cluster with better phleb services than NTWC. Blood gu will always answer the call no matter what time is it. No compulsory ward round, some MOs even tell you no need to follow. Lots of useful tutorials (but cancelled due to outbreaks). The only bad thing would be 3 days 1 call (but it's norm for med anyway). Can be very chur if you go all the round/grand round/MID round etc. Good balance of everything.","Just choose TMH if you hate blood taking","M19",NA,NA,"MED-FM-EM TMH"
"410","PWH","MED-ICU",2,5,4,5,4,4,2,4,3,5,2,1,"No",NA,NA,NA,NA,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,"They treat you as trainee. Duties basically are the same as MO. Lots of support and guidance from seniors. No overnight calls.",NA,"M19",NA,NA,"MED-ICU PWH"
"411","QEH","MED-ONC",1,5,5,5,2,2,5,4,5,4,3,5,"No","Yes","No","No",3,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","QEH leaves are very bad. Nearly no compensatory leave will be given.
They said if both Saturday and Sunday no duties, that equals to 1x compensatory leave","Need to do ECGs after 4:15pm on weekdays, after 12nn on Saturday, and whole day on Sunday/public holiday (which is the most non-sense and meaningless duty for HO)
Now compulsory post call OPD (just follow OPD like a student, no need to see cases yourself)
Lots of bedside procedures you can learn (LP, pleural tapping, abd tapping, bone marrow)","It is a tough yet very rewarding rotation. You will learn how to manage a wide range of acute medical conditions, individually perform lots of bedside procedures, and importantly how to cope with stress and prioritize your duties. You can really learn a lot and become a very competent HO after a rotation in QEH MED. MOs are very nice too. But of course it is tough and difficult. But no pain, no gain!","This entry is for QEH MED","M19",NA,NA,"MED-ONC QEH"
"412","QEH","MED-ONC",2,5,5,5,4,4,3,2,3,5,3,2,"Yes","Yes","No","Yes",3,"Allow arrangement among HO","Assigned by Department","Need to take official Leave","For MED-ONC bundle, 3 days AL in MED, 3 days AL in ONC during the 2nd/4th rotation","This entry is for QEH ONC
Many chest tapping and some abd tapping
Once you finish ward duties, you can go to follow OPD. Some teams may even allow to see some cold cases (routine FU cases) yourself
No need to do ECG as in QEH MED
But need to print job sheets in QEH ONC","Overall it is a very good choice if you are interested in oncology. MOs are very nice. They really treat you as a part of their team. You can get to know what oncologist is doing everyday. And (informally, no guarantee), QEH ONC usually hires their own houseman. So if you are lucky enough to get this bundle in your 1st/2nd rotation and perform well, you have pretty high chance of being hired!","This entry is for QEH ONC","M19",NA,NA,"MED-ONC QEH"
"413","TMH","MED-ONC",2,5,5,5,5,5,4,5,2,5,3,4,"Yes","No","No","No",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"strict 3d1c but no post call half day; quite tiring and chur actually; high expectation from senior but everyone is willing to teach; very educational rotation",NA,"M19",NA,NA,"MED-ONC TMH"
"414","KWH","OG",2,3,5,5,5,5,2,2,1,4,2,2,"Yes","No","Yes","Yes",2,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Good place for rehab, soso for training",NA,"M19",NA,NA,"OG KWH"
"415","KWH","OG",2,4,4,5,5,5,3,2,1,4,3,3,"Yes","No","Yes","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","The call list of 2nd and 3rd month are arranged by HO!!! Its nice :)","NO IPMOE in KWH which means you can't open your iPad for drug prescription on bed :(

the nurse will take all blood for you including culture and T&S, only need HO for ABG if needed (1 in the 3 month...)

Gyn ward has to clear the dis sum as soon as possible...

Not much procedure in Obs, ONLY allow to PV Obs patient/assist vaginal delivery if MO accompany, 

Not require to assist CS, but have OT duty for gynae

OPD duty: see cases independently after shadowing MO for 1-2h, good experience

Gyn and obs admission has template to follow, many speculum n PV in gynae","Good place to rehab but not much on hand procedure if you would like to be OG (but the MO are nice to teach)

Weekend has short call till 10pm",NA,"M19",NA,NA,"OG KWH"
"416","KWH","OG",2,4,4,4,4,4,2,2,2,4,2,3,"Yes","No","No","No",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,NA,NA,"M19",NA,NA,"OG KWH"
"417","KWH","OG",3,3,4,4,5,5,2,2,1,5,3,3,"Yes","No","Yes","Yes",NA,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Very chill rotation, supportive MOs, nice food in MK. Can be very fun with right people","May not be very good for MO as it is very protective and MO need to do everything themselves","M19",NA,NA,"OG KWH"
"418","KWH","OG",4,3,3,3,3,3,2,3,1,3,2,3,"Yes","No","Yes","No",3,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Not much workload. But need to beware of the senior doctors.","The department does not allow HO to use commom room and does not provide call room. Need to ask the secretary for access to the common room. Also, they emphasize that HO need to stay in the duty ward even if there is no homework left. Nurses generally nice, except a ward manager who is illogical.","M19",NA,NA,"OG KWH"
"419","KWH","OG",4,4,4,4,4,4,2,4,1,3,2,3,"Yes","No","Yes","No",3,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Pros:
- Daytime work is very chill (call is variable)
- MO and nurses are mostly nice

Cons:
- The frustration you get when you have nothing to do in wards but also nowhere to go because they don’t give you access to HO room outside of lunch hours for some reason, you also can’t sit in empty cubicles in wards or go to other OG wards. 
- Compulsory OPD duties
- Long working hours but there is not much to do",NA,"M19",NA,NA,"OG KWH"
"420","PMH","OG",1,3,3,3,2,2,4,5,1,4,3,5,"Yes","Yes","No","No",4,"Assigned by Department","Assigned by Department",NA,NA,NA,"educational if want to work in OG; can leave at 5pm on time, occasionally can be chill in the pm; busy calls with compulsory admissions (PMH being the only hospital with OG in KWC); seniors can be quite malignant, not the nicest atmosphere, quite high stress","high stress, busy calls, but daytime duty ok and have post-call half day off","M19",NA,NA,"OG PMH"
"421","PMH","OG",2,4,5,5,2,2,4,5,4,4,4,4,"Yes","Yes","No","Yes",2,"Allow arrangement among HO","Assigned by Department",NA,NA,NA,NA,NA,"M19",NA,NA,"OG PMH"
"422","PWH","OG",1,4,3,3,4,4,3,4,2,4,3,4,"No","No","No","Yes",4,"Assigned by Department","Assigned by Department",NA,NA,NA,"Heavy patient load; Educational value depends on MO style; Always off work on time","Most MO are distant and not welcoming towards HO
Most MW are rude and not helpful","M19",NA,NA,"OG PWH"
"423","PWH","OG",1,1,1,1,1,1,3,3,3,1,3,4,"No","No","No","Yes",1,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,"Worse","Bad","Bad","M19",NA,NA,"OG PWH"
"424","PWH","OG",1,4,2,2,2,2,3,4,3,3,3,4,"No","No","No","Yes",4,"Assigned by Department","Assigned by Department",NA,NA,"basically a phlebotomist + clerk. 
Always call u do take ‘urgent’ blood
Not much ward procedures except AROM","stressful working environment as midwives are manipulative and lack of rationality. MOs are nice but they can get cho dei on call. There are different duties which you will rotate. Most of them are easily managed except 4 weeks in OBS. Cuz if unlucky, you can do >20admissions per day, which means endless type and screen, drip setting, speculum",NA,"M19",NA,NA,"OG PWH"
